Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,7753501867.76095,3057475288.78105,12243505582.6741,15107441446.7833,16488403076.3641,17189551520.9811,17627003454.7205,14953950557.4406,15141758566.7808,16242916915.7203,17599700090.762,17743195770.1998
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,1771671207359.88,1943145384190.16,3396354075663.73,3744408602683.94,3527344944139.83,3732743446218.92,3883920155292.26,3360549973888.58,3466790065011.83,3665804120835.3,3949548833952.94,3845630030823.52
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,5889174825.487,4983024408.14828,32197272797.2028,39337314809.9434,41270954737.2459,62405374785.5052,53660342159.7735,48564863888.4402,55009730600.0307,58998132329.6173,65556464048.1539,66983634223.943
GDP (current US$),NY.GDP.MKTP.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,97891090928.6328,130133845771.144,299361576558.217,287797822093.178,245670666639.047,239862011450.103,237029579260.722,196591353761.226,195222443512.937,203588424288.428,218138367444.99,209852761468.681
GDP (current US$),NY.GDP.MKTP.CD,Greenland,GRL,1018970364.86443,1068030829.75591,2503156060.52524,2684467375.71479,2609667673.71601,2684952726.88425,2842048997.77283,2499115623.00272,2707146783.13056,2826651925.66902,3051626389.63671,..
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,278098762.962963,520044370.37037,771013259.259259,778655925.925926,799882259.259259,842620111.111111,911497407.407407,997007925.925926,1061631222.22222,1125685185.18519,1168696296.2963,1228170370.37037
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,..,..,4895000000,4928000000,5199000000,5336000000,5538000000,5710000000,5795000000,5851000000,5920000000,..
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,7650125217.35253,19288827158.9035,41338008612.7727,47654783851.8252,50388460924.7345,52996540576.3161,57852399834.4585,62186186575.7433,66053725049.0138,71612352781.0667,73118147808.2775,76710385879.6627
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,2666616176.91609,2995360969.16199,6853467857.61127,6785137172.77058,7638045254.42864,8376613843.27265,8778473614.54727,8794202443.67366,8603884845.39159,10336634798.7593,12207116729.0778,13590281808.6928
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,243961995.509785,370173838.651652,849050127.504407,1098379391.95039,989327811.785114,1045790132.98518,1053512334.17271,1047808175.00057,1178204501.38801,1346841897.00437,1458156026.13413,1340389410.76003
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,396582263.291139,712667896.727512,2273225041.96217,2576024115.57832,2861562265.88301,2987684170.24434,3077643313.70623,3197220338.98305,3504024213.07506,3555205811.13802,3878662620.77146,4280443645.08393
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,3096289800,3953846310.66081,6622541528.56888,7516834160.25277,7890647021.75659,8485077205.26002,8775444941.93681,8724656126.49849,7970649131.23416,8409497402.4589,9658721169.63284,8498981820.87012
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,4923009551.51561,7103507989.05044,15839344591.9842,17710315005.9999,18528601901.324,18499710127.8385,19756494434.7031,20979767785.2104,21717622071.3816,23136232229.6069,24024189735.8876,25095395475.0393
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,76928290841.8701,171668164082.555,228637697575.04,248513617677.287,262629441493.476,275696879834.966,291459356985.337,309383627028.561,320837638328.846,341244161576.759,361693053517.893,366029556273.051
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,..,47218405892.4258,131135561228.374,141109576981.423,128153691809.347,135409048034.154,140558786480.464,124529741437.176,127507473625.632,141510583019.556,157882912778.254,160967157503.612
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,6478459746.96228,9003639597.5374,13683689690.2042,15158548261.0475,14724078152.3141,16033517406.48,17758050018.9682,17389101641.2758,20618363255.7616,24488176539.6549,25737594324.9454,24188035738.7846
GDP (current US$),NY.GDP.MKTP.CD,India,IND,320979026419.633,468394937262.37,1675615335600.56,1823050405350.42,1827637859135.7,1856722121394.53,2039127446298.55,2103587817041.78,2294797978291.98,2652754685834.59,2713165057513.35,2875142314811.85
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,106140727357.035,165021012077.81,755094160363.071,892969107923.094,917869910105.749,912524136718.018,890814755233.225,860854235065.079,931877364177.742,1015618742565.81,1042240309412.58,1119190780752.8
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,124813263926.246,109591707802.233,486807615326.147,580764902917.439,598868460912.847,460293149324.326,432687036177.818,384951479697.42,417983578231.417,445345282122.682,..,..
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,179885815374.719,..,138516722649.573,185749664444.444,218000986222.639,234637674957.118,234648370497.427,177498577312.923,174878976033.937,195473049875.127,224228010477.919,234094042938.917
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,49364679953.1067,99852958356.3663,222148757313.006,237472361872.56,224999484104.853,238543538776.684,258471885130.304,291499812103.645,300523297712.96,335663113959.724,382674360766.341,388698711348.156
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMN,..,1563667799.61578,5920177688.50433,6566098381.6696,6433357030.0158,6754330154.76004,7428280401.5139,6792417112.29947,6592627599.24386,6770532818.53282,..,..
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,59011274625.5332,132343042748.878,233995676194.679,261468634231.2,257180147032.142,292636164000.637,309558454718.866,299813121212.641,318950599017.506,353253406954.97,370587977153.583,395098666121.616
