CD_RGN_REFNIS;MONTH;YEAR;CD_AGE;MS_SEX_;CHAP_COD;COUNT
02000;1;2011;75-84;M;N00-N99;20
02000;1;2011;75-84;M;R00-R99;29
02000;1;2011;75-84;M;V01-Y98;28
02000;1;2011;85+;F;A00-B99;38
02000;1;2011;85+;F;C00-D48;134
02000;1;2011;85+;F;D50-D89;7
02000;1;2011;85+;F;E00-E90;39
02000;1;2011;85+;F;F00-F99;97
02000;1;2011;85+;F;G00-G99;47
02000;1;2011;85+;F;I00-I99;511
02000;1;2011;85+;F;J00-J99;177
02000;1;2011;85+;F;K00-K93;47
02000;1;2011;85+;F;L00-L99;9
02000;1;2011;85+;F;M00-M99;8
02000;1;2011;85+;F;N00-N99;45
02000;1;2011;85+;F;R00-R99;61
02000;1;2011;85+;F;V01-Y98;34
02000;1;2011;85+;M;A00-B99;12
02000;1;2011;85+;M;C00-D48;130
02000;1;2011;85+;M;D50-D89;3
02000;1;2011;85+;M;E00-E90;11
02000;1;2011;85+;M;F00-F99;29
02000;1;2011;85+;M;G00-G99;32
02000;1;2011;85+;M;I00-I99;255
02000;1;2011;85+;M;J00-J99;134
02000;1;2011;85+;M;K00-K93;19
02000;1;2011;85+;M;L00-L99;1
02000;1;2011;85+;M;M00-M99;2
02000;1;2011;85+;M;N00-N99;16
02000;1;2011;85+;M;R00-R99;36
02000;1;2011;85+;M;V01-Y98;17
02000;1;2012;0-24;F;A00-B99;1
02000;1;2012;0-24;F;C00-D48;3
02000;1;2012;0-24;F;I00-I99;2
02000;1;2012;0-24;F;P00-P96;1
02000;1;2012;0-24;F;Q00-Q99;3
02000;1;2012;0-24;F;R00-R99;2
02000;1;2012;0-24;F;V01-Y98;4
02000;1;2012;0-24;M;C00-D48;4
02000;1;2012;0-24;M;G00-G99;3
02000;1;2012;0-24;M;I00-I99;1
02000;1;2012;0-24;M;P00-P96;7
02000;1;2012;0-24;M;Q00-Q99;1
02000;1;2012;0-24;M;R00-R99;2
02000;1;2012;0-24;M;V01-Y98;12
02000;1;2012;25-44;F;C00-D48;19
02000;1;2012;25-44;F;E00-E90;2
02000;1;2012;25-44;F;F00-F99;1
02000;1;2012;25-44;F;I00-I99;2
02000;1;2012;25-44;F;K00-K93;1
02000;1;2012;25-44;F;P00-P96;1
02000;1;2012;25-44;F;R00-R99;2
02000;1;2012;25-44;F;V01-Y98;7
02000;1;2012;25-44;M;A00-B99;2
02000;1;2012;25-44;M;C00-D48;15
02000;1;2012;25-44;M;E00-E90;2
02000;1;2012;25-44;M;F00-F99;2
02000;1;2012;25-44;M;G00-G99;4
02000;1;2012;25-44;M;I00-I99;3
02000;1;2012;25-44;M;J00-J99;1
02000;1;2012;25-44;M;K00-K93;2
02000;1;2012;25-44;M;Q00-Q99;1
02000;1;2012;25-44;M;R00-R99;6
02000;1;2012;25-44;M;V01-Y98;43
02000;1;2012;45-64;F;A00-B99;4
02000;1;2012;45-64;F;C00-D48;121
02000;1;2012;45-64;F;D50-D89;2
02000;1;2012;45-64;F;E00-E90;3
02000;1;2012;45-64;F;F00-F99;4
02000;1;2012;45-64;F;G00-G99;7
02000;1;2012;45-64;F;I00-I99;29
02000;1;2012;45-64;F;J00-J99;8
02000;1;2012;45-64;F;K00-K93;14
02000;1;2012;45-64;F;M00-M99;1
02000;1;2012;45-64;F;N00-N99;3
02000;1;2012;45-64;F;P00-P96;1
02000;1;2012;45-64;F;Q00-Q99;1
02000;1;2012;45-64;F;R00-R99;10
02000;1;2012;45-64;F;V01-Y98;25
02000;1;2012;45-64;M;A00-B99;10
02000;1;2012;45-64;M;C00-D48;165
02000;1;2012;45-64;M;D50-D89;1
02000;1;2012;45-64;M;E00-E90;12
02000;1;2012;45-64;M;F00-F99;2
02000;1;2012;45-64;M;G00-G99;10
02000;1;2012;45-64;M;I00-I99;93
02000;1;2012;45-64;M;J00-J99;21
02000;1;2012;45-64;M;K00-K93;31
02000;1;2012;45-64;M;M00-M99;5
02000;1;2012;45-64;M;N00-N99;1
02000;1;2012;45-64;M;Q00-Q99;2
02000;1;2012;45-64;M;R00-R99;22
02000;1;2012;45-64;M;V01-Y98;60
02000;1;2012;65-74;F;A00-B99;4
02000;1;2012;65-74;F;C00-D48;140
02000;1;2012;65-74;F;E00-E90;10
02000;1;2012;65-74;F;F00-F99;9
02000;1;2012;65-74;F;G00-G99;24
02000;1;2012;65-74;F;I00-I99;69
02000;1;2012;65-74;F;J00-J99;27
02000;1;2012;65-74;F;K00-K93;8
02000;1;2012;65-74;F;M00-M99;5
02000;1;2012;65-74;F;N00-N99;4
02000;1;2012;65-74;F;R00-R99;13
02000;1;2012;65-74;F;V01-Y98;19
02000;1;2012;65-74;M;A00-B99;5
02000;1;2012;65-74;M;C00-D48;213
02000;1;2012;65-74;M;D50-D89;1
02000;1;2012;65-74;M;E00-E90;11
02000;1;2012;65-74;M;F00-F99;9
02000;1;2012;65-74;M;G00-G99;14
02000;1;2012;65-74;M;I00-I99;139
02000;1;2012;65-74;M;J00-J99;61
02000;1;2012;65-74;M;K00-K93;15
02000;1;2012;65-74;M;M00-M99;1
02000;1;2012;65-74;M;N00-N99;5
02000;1;2012;65-74;M;R00-R99;13
02000;1;2012;65-74;M;V01-Y98;15
02000;1;2012;75-84;F;A00-B99;15
02000;1;2012;75-84;F;C00-D48;183
02000;1;2012;75-84;F;E00-E90;33
02000;1;2012;75-84;F;F00-F99;44
02000;1;2012;75-84;F;G00-G99;41
02000;1;2012;75-84;F;I00-I99;240
02000;1;2012;75-84;F;J00-J99;68
02000;1;2012;75-84;F;K00-K93;29
02000;1;2012;75-84;F;L00-L99;2
02000;1;2012;75-84;F;M00-M99;3
02000;1;2012;75-84;F;N00-N99;14
02000;1;2012;75-84;F;Q00-Q99;1
